127.0.0.1 - - [21/Sep/2016:09:58:25 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:58:28 +0200] "GET /jsflab/ HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:58:29 +0200] "GET /jsflab/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB?ln=primefaces HTTP/1.1" 200 105210
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:58:29 +0200] "GET /jsflab/javax.faces.resource/theme.css.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 33358
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:58:29 +0200] "GET /jsflab/javax.faces.resource/jsf.js.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB?ln=javax.faces&stage=Development HTTP/1.1" 200 142842
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:58:29 +0200] "GET /jsflab/javax.faces.resource/primefaces.js.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB?ln=primefaces HTTP/1.1" 200 233831
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:58:29 +0200] "GET /jsflab/javax.faces.resource/primefaces.css.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB?ln=primefaces HTTP/1.1" 200 50525
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:58:29 +0200] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:02 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:02 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:02 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:02 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:03 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:04 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:05 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:05 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:05 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:07 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:07 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:07 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:08 +0200] "POST /jsflab/index.jsf;jsessionid=2BA9842135B2D83554A7CB4EE25237EB HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:18 +0200] "GET /jsflab/login.jsf HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:18 +0200] "GET /jsflab/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 200 142842
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:18 +0200] "GET /jsflab/javax.faces.resource/primefaces.css.jsf?ln=primefaces HTTP/1.1" 200 50525
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:19 +0200] "GET /jsflab/javax.faces.resource/theme.css.jsf?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:19 +0200] "GET /jsflab/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces HTTP/1.1" 200 227903
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:19 +0200] "GET /jsflab/javax.faces.resource/primefaces.js.jsf?ln=primefaces HTTP/1.1" 200 233831
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:19 +0200] "GET /jsflab/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces HTTP/1.1" 200 105210
0:0:0:0:0:0:0:1 - - [21/Sep/2016:09:59:19 +0200] "GET /jsflab/RES_NOT_FOUND HTTP/1.1" 404 1001
