127.0.0.1 - - [12/Dec/2016:11:48:02 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:04 -0600] "GET /jsflab/ HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:04 -0600] "GET /jsflab/javax.faces.resource/theme.css.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 33358
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:04 -0600] "GET /jsflab/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA?ln=primefaces HTTP/1.1" 200 105210
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:04 -0600] "GET /jsflab/javax.faces.resource/primefaces.js.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA?ln=primefaces HTTP/1.1" 200 233831
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:04 -0600] "GET /jsflab/javax.faces.resource/jsf.js.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA?ln=javax.faces&stage=Development HTTP/1.1" 200 142842
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:04 -0600] "GET /jsflab/javax.faces.resource/primefaces.css.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA?ln=primefaces HTTP/1.1" 200 50525
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:05 -0600] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:05 -0600] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:09 -0600] "POST /jsflab/index.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:09 -0600] "POST /jsflab/index.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:10 -0600] "POST /jsflab/index.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:48:10 -0600] "POST /jsflab/index.jsf;jsessionid=45985B5010C2CEB09FAA4C0A5B8374FA HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/login.jsf HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/javax.faces.resource/primefaces.js.jsf?ln=primefaces HTTP/1.1" 200 233831
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/javax.faces.resource/primefaces.css.jsf?ln=primefaces HTTP/1.1" 200 50525
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces HTTP/1.1" 200 227903
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces HTTP/1.1" 200 105210
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 200 142842
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/RES_NOT_FOUND HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:09 -0600] "GET /jsflab/javax.faces.resource/theme.css.jsf?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2016:11:49:10 -0600] "GET /jsflab/RES_NOT_FOUND HTTP/1.1" 404 1001
