127.0.0.1 - - [09/Jan/2017:18:08:58 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:07 -0600] "GET /jsflab/login.jsf HTTP/1.1" 200 3597
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:09 -0600] "GET /jsflab/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=14117A9D7AE3E10E9DA7D324A8AED8D5?ln=primefaces HTTP/1.1" 200 105210
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:09 -0600] "GET /jsflab/javax.faces.resource/primefaces.js.jsf;jsessionid=14117A9D7AE3E10E9DA7D324A8AED8D5?ln=primefaces HTTP/1.1" 200 233831
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:09 -0600] "GET /jsflab/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=14117A9D7AE3E10E9DA7D324A8AED8D5?ln=primefaces HTTP/1.1" 200 227903
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:09 -0600] "GET /jsflab/javax.faces.resource/theme.css.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 33358
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:09 -0600] "GET /jsflab/javax.faces.resource/primefaces.css.jsf;jsessionid=14117A9D7AE3E10E9DA7D324A8AED8D5?ln=primefaces HTTP/1.1" 200 50525
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:09 -0600] "GET /jsflab/javax.faces.resource/jsf.js.jsf;jsessionid=14117A9D7AE3E10E9DA7D324A8AED8D5?ln=javax.faces&stage=Development HTTP/1.1" 200 142842
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:09 -0600] "GET /jsflab/RES_NOT_FOUND HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:10 -0600] "GET /jsflab/RES_NOT_FOUND HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:10 -0600] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:10 -0600] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [09/Jan/2017:18:09:38 -0600] "POST /jsflab/login.jsf;jsessionid=14117A9D7AE3E10E9DA7D324A8AED8D5 HTTP/1.1" 200 287
